
Lines Path                                          
----- ----                                          
  518 src\core\trace\trace-image.ts                 
  458 src\ui\state\store.ts                         
  430 src\core\job\compile-job.ts                   
  408 src\core\raster\emit-raster.ts                
  407 src\ui\state\scene-mutations.ts               
  404 src\ui\state\laser-store.ts                   
  394 src\ui\layers\LayerRow.tsx                    
  387 src\ui\layers\MaterialLibraryPanel.tsx        
  373 src\io\svg\parse-svg.ts                       
  371 src\ui\trace\TracePreview.tsx                 
  367 src\core\trace\centerline-fit.ts              
  365 src\core\trace\potrace-curve-optimize.ts      
  361 src\ui\workspace\draw-scene.ts                
  360 src\ui\laser\JobControls.tsx                  
  356 electron\main.ts                              
  336 src\io\material-library\material-library-io.ts
  328 src\ui\text\AddTextDialog.tsx                 
  311 src\core\trace\trace-to-paths.ts              
  310 src\io\project\project-shape-validator.ts     
  303 src\core\raster\dither.ts                     


