id,area,currentSource,label,disposition,expectedOutcome,availability,evidence,notes
"src/ui/app/AutosaveRecoveryBanner.tsx:11:9","app","src/ui/app/AutosaveRecoveryBanner.tsx:11","Restore","verified-boundary","Restore the offered project and request a dirty backup write before clearing the recovery source.","{""disabledWhen"":null,""enclosingConditions"":[]}","src/ui/app/AutosaveRecoveryBanner.test.tsx: AutosaveRecoveryBanner restores only on request and preserves a dirty durable copy before clearing its source [Real project restoration; persistence service is mocked and write-before-clear ordering asserted. Durable storage itself is not established.]","Real project restoration; persistence service is mocked and write-before-clear ordering asserted. Durable storage itself is not established."
"src/ui/app/AutosaveRecoveryBanner.tsx:14:9","app","src/ui/app/AutosaveRecoveryBanner.tsx:14","Hide","verified-boundary","Hide the recovery offer without requesting deletion or rewriting of the backup.","{""disabledWhen"":null,""enclosingConditions"":[]}","src/ui/app/AutosaveRecoveryBanner.test.tsx: AutosaveRecoveryBanner hides the choice without discarding or rewriting the backup [Real banner state; mocked persistence service receives no write/clear calls.]","Real banner state; mocked persistence service receives no write/clear calls."
"src/ui/app/DesktopCloseNotice.tsx:16:9","app","src/ui/app/DesktopCloseNotice.tsx:16","Keep app open","verified-boundary","Cancel the pending close request and retain the app.","{""disabledWhen"":null,""enclosingConditions"":[]}","src/ui/app/DesktopCloseNotice.test.tsx: desktop close recovery notice shows a nonmodal pending stop with a working Keep app open control [Verified UI-to-callback or browser-adapter boundary; the external/native effect was not exercised.]","Verified UI-to-callback or browser-adapter boundary; the external/native effect was not exercised."
"src/ui/app/DesktopCloseNotice.tsx:18:11","app","src/ui/app/DesktopCloseNotice.tsx:18","Retry Abort","verified-boundary","Retry the failed stop request and resolve ready only after the mocked stop completes.","{""disabledWhen"":null,""enclosingConditions"":[""notice.kind === 'failed'""]}","src/ui/app/interface-control-outcomes.test.tsx: individual shell control outcomes Retry Abort retries a failed close request and resolves only after the mocked stop succeeds [Verified UI-to-callback or browser-adapter boundary; the external/native effect was not exercised.]","Verified UI-to-callback or browser-adapter boundary; the external/native effect was not exercised."
"src/ui/app/DesktopCloseNotice.tsx:21:11","app","src/ui/app/DesktopCloseNotice.tsx:21","Acknowledge warning and close","verified-boundary","Acknowledge the unconfirmed-stop warning and resolve the close handshake, retaining the warning until acknowledgement.","{""disabledWhen"":null,""enclosingConditions"":[""notice.kind === 'unconfirmed'""]}","src/ui/app/DesktopCloseNotice.test.tsx: desktop close recovery notice keeps an unconfirmed stop warning readable until explicit acknowledgement [Verified UI-to-callback or browser-adapter boundary; the external/native effect was not exercised.]","Verified UI-to-callback or browser-adapter boundary; the external/native effect was not exercised."
"src/ui/app/ExternalGcodePreviewBanner.tsx:14:7","app","src/ui/app/ExternalGcodePreviewBanner.tsx:14","Show project toolpath","verified-behaviour","Remove only the imported G-code display and retain project, preview mode and undo.","{""disabledWhen"":null,""enclosingConditions"":[]}","src/ui/app/interface-control-outcomes.test.tsx: individual shell control outcomes Show project toolpath removes only the imported display slot [Rendered control and real application state were exercised with disposable test state.]","Rendered control and real application state were exercised with disposable test state."
"src/ui/app/GcodeSaveDialog.tsx:58:9","app","src/ui/app/GcodeSaveDialog.tsx:58","Cancel","verified-behaviour","Close without choosing or writing an export destination.","{""disabledWhen"":null,""enclosingConditions"":[]}","src/ui/app/interface-control-outcomes.test.tsx: individual shell control outcomes G-code Cancel closes without choosing or writing a destination [Rendered control and real application state were exercised with disposable test state.]
src/ui/app/interface-control-outcomes.test.tsx: individual shell control outcomes G-code Cancel closes without choosing or writing a destination [Rendered control and real application state were exercised with disposable test state.]","Rendered control and real application state were exercised with disposable test state."
"src/ui/app/GcodeSaveDialog.tsx:59:9","app","src/ui/app/GcodeSaveDialog.tsx:59","Choose destination…","verified-boundary","Prepare complete executable bytes before enabling destination selection and write them through the selected adapter.","{""disabledWhen"":""preparation.kind === 'preparing' || preparation.kind === 'failed'"",""enclosingConditions"":[]}","src/ui/app/GcodeSaveDialog.test.tsx: web G-code prebuild dialog does not select a destination until complete bytes are ready and the operator clicks [Verified UI-to-callback or browser-adapter boundary; the external/native effect was not exercised.]
src/ui/app/GcodeSaveDialog.test.tsx: electron G-code prebuild dialog does not select a destination until complete bytes are ready and the operator clicks [Verified UI-to-callback or browser-adapter boundary; the external/native effect was not exercised.]","Verified UI-to-callback or browser-adapter boundary; the external/native effect was not exercised."
"src/ui/app/ProjectBedReconciliationBanner.tsx:23:9","app","src/ui/app/ProjectBedReconciliationBanner.tsx:23","Use project machine","verified-behaviour","Retain the opened device and machine profile; clear disclosure without changing artwork.","{""disabledWhen"":null,""enclosingConditions"":[]}","src/ui/app/ProjectBedReconciliationBanner.test.tsx: ProjectBedReconciliationBanner Use project machine retains the chosen profile and clears the disclosure [Rendered control and real application state were exercised with disposable test state.]","Rendered control and real application state were exercised with disposable test state."
"src/ui/app/ProjectBedReconciliationBanner.tsx:26:9","app","src/ui/app/ProjectBedReconciliationBanner.tsx:26","Keep current machine","verified-behaviour","Restore the previous device, bed and machine profile; clear disclosure without changing opened artwork.","{""disabledWhen"":null,""enclosingConditions"":[]}","src/ui/app/ProjectBedReconciliationBanner.test.tsx: ProjectBedReconciliationBanner Keep current machine retains the chosen profile and clears the disclosure [Rendered control and real application state were exercised with disposable test state.]","Rendered control and real application state were exercised with disposable test state."
