sector_id,sector,KerfDesk,LightBurn,xTool Studio,Rayforge,LaserGRBL,Easel,Carbide Create Pro + Motion,VCarve Pro,notes
1,Onboarding and device setup,7.5,7.5,9.0,7.0,6.0,9.0,8.5,7.0,"VCarve score covers CAM setup, not machine connection"
2,Import projects and interoperability,8.0,9.5,8.0,8.0,5.5,7.5,7.5,9.5,"KerfDesk lacks .clb material-library import"
3,2D design and editing,7.0,9.5,8.5,7.5,3.0,8.0,8.0,9.5,"Dedicated design/CAM products lead"
4,Text and variable data,5.0,10.0,9.0,6.5,1.0,8.5,7.5,9.5,"KerfDesk lacks variable text"
5,Image adjustment trace and raster,8.5,9.5,9.0,7.5,7.0,6.5,6.0,8.5,"KerfDesk mask fidelity is high but vectors are dense"
6,Layers materials and test workflows,8.0,10.0,8.5,7.5,4.0,8.5,7.0,8.5,"Closed competitors rated from observable workflows"
7,Layout nesting tiling and generators,6.5,9.5,8.0,8.5,2.0,8.0,7.5,10.0,"KerfDesk has tiling and box tools but no automatic nesting"
8,Laser CAM,8.5,10.0,8.5,8.0,7.0,N/A,N/A,N/A,"CNC-only products are not rated"
9,CNC 2D and 2.5D CAM,7.5,N/A,N/A,N/A,N/A,8.5,9.0,9.5,"LightBurn is not rated as a CNC CAM product"
10,Advanced CNC and 3D,7.5,N/A,N/A,N/A,N/A,7.5,9.0,10.0,"KerfDesk ships STL relief roughing finishing V-carve and 3D preview but lacks adaptive rest helical and inlay automation"
11,Preview simulation and estimates,8.0,9.5,8.5,9.0,7.0,9.0,9.0,10.0,"VCarve score is CAM preview only"
12,Machine profiles and connectivity,8.0,10.0,8.5,8.0,6.5,8.5,7.0,8.0,"VCarve score reflects post-processors rather than an integrated sender"
13,Jog frame origin and probing,8.0,10.0,9.0,8.5,8.0,9.0,9.5,N/A,"VCarve is not an integrated machine controller"
14,Rotary camera registration and print-and-cut,5.5,10.0,9.0,8.5,2.0,N/A,N/A,N/A,"KerfDesk rotary backend is ahead of its shipped UI"
15,Streaming pause recovery and tool changes,7.5,9.5,8.5,8.0,8.0,9.0,9.5,N/A,"Hardware evidence is incomplete for KerfDesk"
16,Output correctness and safety,8.0,9.5,9.0,8.0,7.0,9.0,9.0,9.5,"Closed-source internal evidence unavailable; VCarve rated for CAM output"
17,Performance and large jobs,6.5,9.0,8.0,8.0,8.5,7.5,8.5,9.0,"KerfDesk trace density is the clearest current cost"
18,UX accessibility and documentation,6.5,8.5,9.0,8.0,6.0,9.5,8.5,8.0,"Ratings combine workflow clarity and official documentation"
19,Engineering security and testing,8.5,NR,NR,7.5,7.0,NR,NR,NR,"Closed-source products are not assigned internal-quality scores"
20,Value platforms offline use and openness,9.5,8.5,7.5,10.0,9.0,6.5,7.5,6.0,"Rayforge and KerfDesk lead on openness and inspectability"
